asin,title,author,description,text
0062273280,Finding it,Cora Carmack,"""Most girls would kill to spend months traveling around Europe after college graduation with no responsibility, no parents, and no limit credit cards. Kelsey Summers is no exception. She's having the time of her life... or that's what she keeps telling herself. It's a lonely business trying to find out who you are, especially when you're afraid you won't like the you that's found. No amount of drinking or dancing can chase away Kelsey's loneliness, but maybe Jackson Hunt can. After a few chance meetings, he convinces her to take a journey of adventure instead of alcohol. With each new city and experience, Kelsey's mind becomes a little clearer, and her heart a little less hers. Hunt helps her unravel her own dreams and desires, but the more she knows about herself, the more she realizes how little she knows about him""--","Finding it by Cora Carmack. ""Most girls would kill to spend months traveling around Europe after college graduation with no responsibility, no parents, and no limit credit cards. Kelsey Summers is no exception. She's having the time of her life... or that's what she keeps telling herself. It's a lonely business trying to find out who you are, especially when you're afraid you won't like the you that's found. No amount of drinking or dancing can chase away Kelsey's loneliness, but maybe Jackson Hunt can. After a few chance meetings, he convinces her to take a journey of adventure instead of alcohol. With each new city and experience, Kelsey's mind becomes a little clearer, and her heart a little less hers. Hunt helps her unravel her own dreams and desires, but the more she knows about herself, the more she realizes how little she knows about him""--"
0062289357,Crave,Monica Murphy,"Topics: Fiction, romance, general, Man-woman relationships, fiction.","Crave by Monica Murphy. Topics: Fiction, romance, general, Man-woman relationships, fiction."
0062292129,Stealing Harper,Molly McAdams,"""Chase Grayson has never been interested in having a relationship that lasts longer than it takes for him and his date to get dressed again. But then he stumbles into a gray-eyed girl whose innocence pours off her, and everything changes. From the minute Harper opens her mouth to let him know just how much he disgusts her, he's hooked. ... All good intentions go out the window when Harper starts to fall for the guy Chase has come to view as a brother. He wanted to protect her by keeping her away, but he can't stand to see her with anyone else, and he'll do anything to make her his. But when it comes down to Harper choosing between the two, will Chase have the strength to step back from the girl who has become his whole world if it means she's happy?""--Page 4 of cover.","Stealing Harper by Molly McAdams. ""Chase Grayson has never been interested in having a relationship that lasts longer than it takes for him and his date to get dressed again. But then he stumbles into a gray-eyed girl whose innocence pours off her, and everything changes. From the minute Harper opens her mouth to let him know just how much he disgusts her, he's hooked. ... All good intentions go out the window when Harper starts to fall for the guy Chase has come to view as a brother. He wanted to protect her by keeping her away, but he can't stand to see her with anyone else, and he'll do anything to make her his. But when it comes down to Harper choosing between the two, will Chase have the strength to step back from the girl who has become his whole world if it means she's happy?""--Page 4 of cover."
0062294776,Wait for You,J. Lynn,"""Some things are worth waiting for... Traveling thousands of miles from home to enter college is the only way nineteen-year-old Avery Morgansten can escape what happened at the Halloween party five years ago--an event that forever changed her life. All she needs to do is make it to her classes on time, make sure the bracelet on her left wrist stays in place, not draw any attention to herself, and maybe--please God--make a few friends, because surely that would be a nice change of pace. The one thing she didn't need and never planned on was capturing the attention of the one guy who could shatter the precarious future she's building for herself. Some things are worth experiencing... Cameron Hamilton is six feet and three inches of swoon-worthy hotness, complete with a pair of striking blue eyes and a remarkable ability to make her want things she believed were irrevocably stolen from her. She knows she needs to stay away from him, but Cam is freaking everywhere, with his charm, his witty banter, and that damn dimple that's just so... so lickable. Getting involved with him is dangerous, but when ignoring the simmering tension that sparks whenever they are around each other becomes impossible, he brings out a side of her she never knew existed. Some things should never be kept quiet... But when Avery starts receiving threatening emails and phone calls forcing her to face a past she wants silenced, she's has no other choice but to acknowledge that someone is refusing to allow her to let go of that night when everything changed. When the devastating truth comes out, will she resurface this time with one less scar? And can Cam be there to help her or will he be dragged down with her? And some things are worth fighting for..""--","Wait for You by J. Lynn. ""Some things are worth waiting for... Traveling thousands of miles from home to enter college is the only way nineteen-year-old Avery Morgansten can escape what happened at the Halloween party five years ago--an event that forever changed her life. All she needs to do is make it to her classes on time, make sure the bracelet on her left wrist stays in place, not draw any attention to herself, and maybe--please God--make a few friends, because surely that would be a nice change of pace. The one thing she didn't need and never planned on was capturing the attention of the one guy who could shatter the precarious future she's building for herself. Some things are worth experiencing... Cameron Hamilton is six feet and three inches of swoon-worthy hotness, complete with a pair of striking blue eyes and a remarkable ability to make her want things she believed were irrevocably stolen from her. She knows she needs to stay away from him, but Cam is freaking everywhere, with his charm, his witty banter, and that damn dimple that's just so... so lickable. Getting involved with him is dangerous, but when ignoring the simmering tension that sparks whenever they are around each other becomes impossible, he brings out a side of her she never knew existed. Some things should never be kept quiet... But when Avery starts receiving threatening emails and phone calls forcing her to face a past she wants silenced, she's has no other choice but to acknowledge that someone is refusing to allow her to let go of that night when everything changed. When the devastating truth comes out, will she resurface this time with one less scar? And can Cam be there to help her or will he be dragged down with her? And some things are worth fighting for..""--"
0062294784,Be With Me,Jennifer L. Armentrout,"Topics: Man-woman relationships, Fiction, Women, Violence against, Murder.","Be With Me by Jennifer L. Armentrout. Topics: Man-woman relationships, Fiction, Women, Violence against, Murder."
0062299018,Little Too Far,Lisa Desrochers,"Topics: Fiction, general.","Little Too Far by Lisa Desrochers. Topics: Fiction, general."
0062299271,Keeping her,Cora Carmack,Garrick and Bliss learn that the only thing harder than finding true love is keeping it.,Keeping her by Cora Carmack. Garrick and Bliss learn that the only thing harder than finding true love is keeping it.
006229931X,Deceiving lies,Molly McAdams,"""Rachel is supposed to be planning her wedding to Kash, the love of her life. After the crazy year they've had, she's ready to settle down and live a completely normal life. Well, as normal as it can be. But there's something else waiting--something threatening to tear them apart. Kash is ready for it all with Rachel, especially if ""all"" includes having a football team of babies with his future wife. In his line of work, Kash knows how short life can be and doesn't want to waste another minute of their life together. But now his past as an undercover narcotics agent has come back to haunt him...and it's the girl he loves who's caught in the middle. Trent Cruz's orders are clear: take the girl. But there's something about this girl that has him changing the rules and playing a dangerous game to keep her safe. When his time as Rachel's protector runs out, Trent will turn his back on the only life he's known--and risk everything if it means getting her out alive.""--P. [4] of cover.","Deceiving lies by Molly McAdams. ""Rachel is supposed to be planning her wedding to Kash, the love of her life. After the crazy year they've had, she's ready to settle down and live a completely normal life. Well, as normal as it can be. But there's something else waiting--something threatening to tear them apart. Kash is ready for it all with Rachel, especially if ""all"" includes having a football team of babies with his future wife. In his line of work, Kash knows how short life can be and doesn't want to waste another minute of their life together. But now his past as an undercover narcotics agent has come back to haunt him...and it's the girl he loves who's caught in the middle. Trent Cruz's orders are clear: take the girl. But there's something about this girl that has him changing the rules and playing a dangerous game to keep her safe. When his time as Rachel's protector runs out, Trent will turn his back on the only life he's known--and risk everything if it means getting her out alive.""--P. [4] of cover."
006230240X,Rule,Jay Crownover,"Topics: Fiction, romance, general, Man-woman relationships, fiction, Man-woman relationships, Fiction, Polarity.","Rule by Jay Crownover. Topics: Fiction, romance, general, Man-woman relationships, fiction, Man-woman relationships, Fiction, Polarity."
0062302418,Jet,Jay Crownover,"Longing to escape her wild life with bad boys, Southern belle Ayden Cross falls for a man whose dangerous tattooed looks embody her most passionate rock-and-roll fantasies and who holds very different ideas about relationships.","Jet by Jay Crownover. Longing to escape her wild life with bad boys, Southern belle Ayden Cross falls for a man whose dangerous tattooed looks embody her most passionate rock-and-roll fantasies and who holds very different ideas about relationships."
0062302426,Rome,Jay Crownover,"Topics: Fiction, romance, contemporary.","Rome by Jay Crownover. Topics: Fiction, romance, contemporary."
0062304828,Trust In Me,Jennifer L. Armentrout,"Topics: Man-woman relationships, Fiction, Women, Violence against, Murder.","Trust In Me by Jennifer L. Armentrout. Topics: Man-woman relationships, Fiction, Women, Violence against, Murder."
0062317458,Suddenly royal,Nichole Chase,"Topics: Princes, Fiction, Man-woman relationships, fiction, Fiction, general, Fiction, romance, contemporary.","Suddenly royal by Nichole Chase. Topics: Princes, Fiction, Man-woman relationships, fiction, Fiction, general, Fiction, romance, contemporary."
0062326201,All lined up,Cora Carmack,"Topics: Young women, Fiction, Football players, Fiction, romance, general, Young women, fiction.","All lined up by Cora Carmack. Topics: Young women, Fiction, Football players, Fiction, romance, general, Young women, fiction."
0062333038,Nash,Jay Crownover,"Saint Ford has worked hard to achieve her childhood dream of becoming of nurse. Focused on her work and devoted to her patients, there's no room for love. She doesn't need a guy making waves in her calm, serene life - especially when he's the unforgettable hottie who nearly destroyed her in high school. Dark, brooding Nash Donovan might not remember her or the terrible pain he caused. But he turned her world upside down ... and now he's trying to do it again. Saint has no idea that Nash isn't the cocky player he once was. Uncovering a devastating family secret has rocked his world, and now he's struggling to figure out his future. He can't be distracted by the pretty nurse he seems to meet everywhere. Still, he can't ignore the sparks that fly between them - or how she seems so desperate to get away from him. But the funny, sweet, and drop-dead gorgeous Saint is far too amazing to give up on - especially since she's the only thing in his life that seems to make sense. When Nash discovers the truth about their past, he realizes he may have lost her heart before he could even fight for it. Now, Saint has to decide: is Nash worth risking herself for all over again?","Nash by Jay Crownover. Saint Ford has worked hard to achieve her childhood dream of becoming of nurse. Focused on her work and devoted to her patients, there's no room for love. She doesn't need a guy making waves in her calm, serene life - especially when he's the unforgettable hottie who nearly destroyed her in high school. Dark, brooding Nash Donovan might not remember her or the terrible pain he caused. But he turned her world upside down ... and now he's trying to do it again. Saint has no idea that Nash isn't the cocky player he once was. Uncovering a devastating family secret has rocked his world, and now he's struggling to figure out his future. He can't be distracted by the pretty nurse he seems to meet everywhere. Still, he can't ignore the sparks that fly between them - or how she seems so desperate to get away from him. But the funny, sweet, and drop-dead gorgeous Saint is far too amazing to give up on - especially since she's the only thing in his life that seems to make sense. When Nash discovers the truth about their past, he realizes he may have lost her heart before he could even fight for it. Now, Saint has to decide: is Nash worth risking herself for all over again?"
0062351893,Better when he's bad,Jay Crownover,"""Sexy, dark, and dangerous, Bax isn't just from the wrong side of the tracks, he is the wrong side of the tracks. A criminal, a thug, and a brawler, he's the master of bad choices, until one such choice landed him in prison for five years. Now Bax is out and looking for answers, and he doesn't care what he has to do or who he has to hurt to get them. But there's a new player in the game, and she's much too innocent, much too soft ... and standing directly in his way. Dovie Pryce knows all about living a hard life and the tough choices that come with it. She's always tried to be good, tried to help others, and tried not to let the darkness pull her down. But the streets are fighting back, things have gone from bad to worse, and the only person who can help her is the scariest, sexiest, most complicated ex-con The Point has ever produced. Bax terrifies her, awakening feelings she never thought she'd have for a guy like him. But it doesn't take Dovie long to realize ... some boys are just better when they're bad""--","Better when he's bad by Jay Crownover. ""Sexy, dark, and dangerous, Bax isn't just from the wrong side of the tracks, he is the wrong side of the tracks. A criminal, a thug, and a brawler, he's the master of bad choices, until one such choice landed him in prison for five years. Now Bax is out and looking for answers, and he doesn't care what he has to do or who he has to hurt to get them. But there's a new player in the game, and she's much too innocent, much too soft ... and standing directly in his way. Dovie Pryce knows all about living a hard life and the tough choices that come with it. She's always tried to be good, tried to help others, and tried not to let the darkness pull her down. But the streets are fighting back, things have gone from bad to worse, and the only person who can help her is the scariest, sexiest, most complicated ex-con The Point has ever produced. Bax terrifies her, awakening feelings she never thought she'd have for a guy like him. But it doesn't take Dovie long to realize ... some boys are just better when they're bad""--"
014219672X,On the island,Tracey Garvis-Graves,"When thirty-year-old English teacher Anna Emerson is offered a job tutoring T.J. Callahan at his family's summer rental in the Maldives, she accepts without hesitation; a working vacation on a tropical island trumps the library any day.

T.J. Callahan has no desire to leave town, not that anyone asked him. He's almost seventeen and if having cancer wasn't bad enough, now he has to spend his first summer in remission with his family - and a stack of overdue assignments -- instead of his friends. 

Anna and T.J. are en route to join T.J.'s family in the Maldives when the pilot of their seaplane suffers a fatal heart attack and crash-lands in the Indian Ocean. Adrift in shark-infested waters, their life jackets keep them afloat until they make it to the shore of an uninhabited island. Now Anna and T.J. just want to survive and they must work together to obtain water, food, fire, and shelter.

Their basic needs might be met but as the days turn to weeks, and then months, the castaways encounter plenty of other obstacles, including violent tropical storms, the many dangers lurking in the sea, and the possibility that T.J.'s cancer could return. As T.J. celebrates yet another birthday on the island, Anna begins to wonder if the biggest challenge of all might be living with a boy who is gradually becoming a man.","On the island by Tracey Garvis-Graves. When thirty-year-old English teacher Anna Emerson is offered a job tutoring T.J. Callahan at his family's summer rental in the Maldives, she accepts without hesitation; a working vacation on a tropical island trumps the library any day.

T.J. Callahan has no desire to leave town, not that anyone asked him. He's almost seventeen and if having cancer wasn't bad enough, now he has to spend his first summer in remission with his family - and a stack of overdue assignments -- instead of his friends. 

Anna and T.J. are en route to join T.J.'s family in the Maldives when the pilot of their seaplane suffers a fatal heart attack and crash-lands in the Indian Ocean. Adrift in shark-infested waters, their life jackets keep them afloat until they make it to the shore of an uninhabited island. Now Anna and T.J. just want to survive and they must work together to obtain water, food, fire, and shelter.

Their basic needs might be met but as the days turn to weeks, and then months, the castaways encounter plenty of other obstacles, including violent tropical storms, the many dangers lurking in the sea, and the possibility that T.J.'s cancer could return. As T.J. celebrates yet another birthday on the island, Anna begins to wonder if the biggest challenge of all might be living with a boy who is gradually becoming a man."
0143124544,Me Before You,Jojo Moyes,"Louisa Clark is an ordinary young woman living an exceedingly ordinary life—steady boyfriend, close family—who has never been farther afield than their tiny village. She takes a badly needed job working for ex-Master of the Universe Will Traynor, who is wheelchair-bound after an accident. Will has always lived a huge life—big deals, extreme sports, worldwide travel—and now he’s pretty sure he cannot live the way he is.

Will is acerbic, moody, bossy—but Lou refuses to treat him with kid gloves, and soon his happiness means more to her than she expected. When she learns that Will has shocking plans of his own, she sets out to show him that life is still worth living.

A love story for this generation, Me Before You brings to life two people who couldn’t have less in common—a heartbreakingly romantic novel that asks, What do you do when making the person you love happy also means breaking your own heart?","Me Before You by Jojo Moyes. Louisa Clark is an ordinary young woman living an exceedingly ordinary life—steady boyfriend, close family—who has never been farther afield than their tiny village. She takes a badly needed job working for ex-Master of the Universe Will Traynor, who is wheelchair-bound after an accident. Will has always lived a huge life—big deals, extreme sports, worldwide travel—and now he’s pretty sure he cannot live the way he is.

Will is acerbic, moody, bossy—but Lou refuses to treat him with kid gloves, and soon his happiness means more to her than she expected. When she learns that Will has shocking plans of his own, she sets out to show him that life is still worth living.

A love story for this generation, Me Before You brings to life two people who couldn’t have less in common—a heartbreakingly romantic novel that asks, What do you do when making the person you love happy also means breaking your own heart?"
0263899403,Waking up Married,Mira Lyn Kelly,"Topics: Fiction, romance, suspense, Fiction, humorous, general.","Waking up Married by Mira Lyn Kelly. Topics: Fiction, romance, suspense, Fiction, humorous, general."
030758836X,Gone Girl,Gillian Flynn,"Gone Girl is a 2012 crime thriller novel by American writer Gillian Flynn. It was published by Crown Publishing Group in June 2012. The novel became popular and made the New York Times Best Seller list. The sense of suspense in the novel comes from whether or not Nick Dunne is involved in the disappearance of his wife Amy.


----------
Also contained in:
[Les apparences suvi de la novella Nous allons mourir ce soir](https://openlibrary.org/works/OL24801746W)","Gone Girl by Gillian Flynn. Gone Girl is a 2012 crime thriller novel by American writer Gillian Flynn. It was published by Crown Publishing Group in June 2012. The novel became popular and made the New York Times Best Seller list. The sense of suspense in the novel comes from whether or not Nick Dunne is involved in the disappearance of his wife Amy.


----------
Also contained in:
[Les apparences suvi de la novella Nous allons mourir ce soir](https://openlibrary.org/works/OL24801746W)"
0316404381,The girl in 6E,A. R. Torre,"""I haven't touched a human in three years. That seems like it would be a difficult task, but it's not. Not anymore, thanks to the internet. I am, quite possibly, the most popular recluse ever. Not many shut-ins have a 200-member fan club, a bank account in the seven-figure range, and hundreds of men lining up to pay for undivided attention. They get satisfaction, I get a distraction. Their secret desires are nothing compared to why I hide... my lust for blood, my love of death. Taking their money is easy. Keeping all these secrets... one is bound to escape. What if you hid yourself away because all you could think of was killing? And what if one girl's life depending on you venturing into society? Enter a world of lies, thrills, fears, and all desires, in this original thriller from A. R. Torre""--","The girl in 6E by A. R. Torre. ""I haven't touched a human in three years. That seems like it would be a difficult task, but it's not. Not anymore, thanks to the internet. I am, quite possibly, the most popular recluse ever. Not many shut-ins have a 200-member fan club, a bank account in the seven-figure range, and hundreds of men lining up to pay for undivided attention. They get satisfaction, I get a distraction. Their secret desires are nothing compared to why I hide... my lust for blood, my love of death. Taking their money is easy. Keeping all these secrets... one is bound to escape. What if you hid yourself away because all you could think of was killing? And what if one girl's life depending on you venturing into society? Enter a world of lies, thrills, fears, and all desires, in this original thriller from A. R. Torre""--"
0345544110,Release Me: A Novel,J. Kenner,"An erotic, emotionally charged romance between a powerful man who's never heard ""no"" and a fiery woman who says ""yes"" on her own terms--","Release Me: A Novel by J. Kenner. An erotic, emotionally charged romance between a powerful man who's never heard ""no"" and a fiery woman who says ""yes"" on her own terms--"
0345545834,Claim me,Julie Kenner,"Damien Stark's need is palpable-- his need for pleasure, his need for control, his need for Nikki. And they are in every way a match ... She wants them to possess each other into the deepest desires of their souls, but there are dark places within Damien that even their wildest passion can not touch ...","Claim me by Julie Kenner. Damien Stark's need is palpable-- his need for pleasure, his need for control, his need for Nikki. And they are in every way a match ... She wants them to possess each other into the deepest desires of their souls, but there are dark places within Damien that even their wildest passion can not touch ..."
0345545869,Complete Me A Novel,Julie Kenner,"For fans of Fifty Shades of Grey and Bared to You comes the third novel in the erotic, fast-paced trilogy including Release Me and Claim Me. This sexy, emotionally charged romance continues the story of Damien Stark, the powerful multimillionaire who's never had to take ""no"" for an answer, and Nikki Fairchild, the Southern belle who only says ""yes"" on her own terms.

Beautiful, strong, and commanding, Damien Stark fills a void in Nikki that no other man can touch. His fierce cravings push her beyond the brink of bliss-- and unleash a wild passion that utterly consumes them both. Haunted by a legacy of dark secrets and broken trust, he seeks release in their shared ecstasy, the heat burning stronger each day. Yet not even Damien can run from his ghosts, or shield Nikki from the dangers yet to come.","Complete Me A Novel by Julie Kenner. For fans of Fifty Shades of Grey and Bared to You comes the third novel in the erotic, fast-paced trilogy including Release Me and Claim Me. This sexy, emotionally charged romance continues the story of Damien Stark, the powerful multimillionaire who's never had to take ""no"" for an answer, and Nikki Fairchild, the Southern belle who only says ""yes"" on her own terms.

Beautiful, strong, and commanding, Damien Stark fills a void in Nikki that no other man can touch. His fierce cravings push her beyond the brink of bliss-- and unleash a wild passion that utterly consumes them both. Haunted by a legacy of dark secrets and broken trust, he seeks release in their shared ecstasy, the heat burning stronger each day. Yet not even Damien can run from his ghosts, or shield Nikki from the dangers yet to come."
0345546601,Taking Shots,Toni Aleo,"Topics: Fiction, general, Criminals, fiction.","Taking Shots by Toni Aleo. Topics: Fiction, general, Criminals, fiction."
034554661X,Trying to Score,Toni Aleo,"Topics: Fiction, romance, general, Criminals, fiction, Vineyards, Man-woman relationships, Interpersonal attraction.","Trying to Score by Toni Aleo. Topics: Fiction, romance, general, Criminals, fiction, Vineyards, Man-woman relationships, Interpersonal attraction."
0345546628,Empty Net : the Assassins Series,Toni Aleo,"Topics: Fiction, general, Criminals, fiction.","Empty Net : the Assassins Series by Toni Aleo. Topics: Fiction, general, Criminals, fiction."
0345546679,,,,0345546679
0345803493,Fifty Shades Darker,E. L. James,"Daunted by the singular tastes and dark secrets of the beautiful, tormented young entrepreneur Christian Grey, Anastasia Steele has broken off their relationship to start a new career with a Seattle publishing house.
But, desire for Christian still dominates her every waking thought, and when he proposes a new arrangement, Ana cannot resist. They rekindle their searing sensual affair, and Ana learns more about the barrowing past of her damaged, driven, and demanding Fifty Shades.
While Christian wrestles with his inner demons, Ana, must confront the anger and envy of the woman who came before her, and make the most important decision of her life.","Fifty Shades Darker by E. L. James. Daunted by the singular tastes and dark secrets of the beautiful, tormented young entrepreneur Christian Grey, Anastasia Steele has broken off their relationship to start a new career with a Seattle publishing house.
But, desire for Christian still dominates her every waking thought, and when he proposes a new arrangement, Ana cannot resist. They rekindle their searing sensual affair, and Ana learns more about the barrowing past of her damaged, driven, and demanding Fifty Shades.
While Christian wrestles with his inner demons, Ana, must confront the anger and envy of the woman who came before her, and make the most important decision of her life."
