asin,title,author,description,text
0062273280,Finding it,Cora Carmack,"""Most girls would kill to spend months traveling around Europe after college graduation with no responsibility, no parents, and no limit credit cards. Kelsey Summers is no exception. She's having the time of her life... or that's what she keeps telling herself. It's a lonely business trying to find out who you are, especially when you're afraid you won't like the you that's found. No amount of drinking or dancing can chase away Kelsey's loneliness, but maybe Jackson Hunt can. After a few chance meetings, he convinces her to take a journey of adventure instead of alcohol. With each new city and experience, Kelsey's mind becomes a little clearer, and her heart a little less hers. Hunt helps her unravel her own dreams and desires, but the more she knows about herself, the more she realizes how little she knows about him""--","Finding it by Cora Carmack. ""Most girls would kill to spend months traveling around Europe after college graduation with no responsibility, no parents, and no limit credit cards. Kelsey Summers is no exception. She's having the time of her life... or that's what she keeps telling herself. It's a lonely business trying to find out who you are, especially when you're afraid you won't like the you that's found. No amount of drinking or dancing can chase away Kelsey's loneliness, but maybe Jackson Hunt can. After a few chance meetings, he convinces her to take a journey of adventure instead of alcohol. With each new city and experience, Kelsey's mind becomes a little clearer, and her heart a little less hers. Hunt helps her unravel her own dreams and desires, but the more she knows about herself, the more she realizes how little she knows about him""--"
0062289357,Crave,Monica Murphy,,Crave by Monica Murphy
0062292129,Stealing Harper,Molly McAdams,"""Chase Grayson has never been interested in having a relationship that lasts longer than it takes for him and his date to get dressed again. But then he stumbles into a gray-eyed girl whose innocence pours off her, and everything changes. From the minute Harper opens her mouth to let him know just how much he disgusts her, he's hooked. ... All good intentions go out the window when Harper starts to fall for the guy Chase has come to view as a brother. He wanted to protect her by keeping her away, but he can't stand to see her with anyone else, and he'll do anything to make her his. But when it comes down to Harper choosing between the two, will Chase have the strength to step back from the girl who has become his whole world if it means she's happy?""--Page 4 of cover.","Stealing Harper by Molly McAdams. ""Chase Grayson has never been interested in having a relationship that lasts longer than it takes for him and his date to get dressed again. But then he stumbles into a gray-eyed girl whose innocence pours off her, and everything changes. From the minute Harper opens her mouth to let him know just how much he disgusts her, he's hooked. ... All good intentions go out the window when Harper starts to fall for the guy Chase has come to view as a brother. He wanted to protect her by keeping her away, but he can't stand to see her with anyone else, and he'll do anything to make her his. But when it comes down to Harper choosing between the two, will Chase have the strength to step back from the girl who has become his whole world if it means she's happy?""--Page 4 of cover."
0062294776,Wait for You,J. Lynn,"""Some things are worth waiting for... Traveling thousands of miles from home to enter college is the only way nineteen-year-old Avery Morgansten can escape what happened at the Halloween party five years ago--an event that forever changed her life. All she needs to do is make it to her classes on time, make sure the bracelet on her left wrist stays in place, not draw any attention to herself, and maybe--please God--make a few friends, because surely that would be a nice change of pace. The one thing she didn't need and never planned on was capturing the attention of the one guy who could shatter the precarious future she's building for herself. Some things are worth experiencing... Cameron Hamilton is six feet and three inches of swoon-worthy hotness, complete with a pair of striking blue eyes and a remarkable ability to make her want things she believed were irrevocably stolen from her. She knows she needs to stay away from him, but Cam is freaking everywhere, with his charm, his witty banter, and that damn dimple that's just so... so lickable. Getting involved with him is dangerous, but when ignoring the simmering tension that sparks whenever they are around each other becomes impossible, he brings out a side of her she never knew existed. Some things should never be kept quiet... But when Avery starts receiving threatening emails and phone calls forcing her to face a past she wants silenced, she's has no other choice but to acknowledge that someone is refusing to allow her to let go of that night when everything changed. When the devastating truth comes out, will she resurface this time with one less scar? And can Cam be there to help her or will he be dragged down with her? And some things are worth fighting for..""--","Wait for You by J. Lynn. ""Some things are worth waiting for... Traveling thousands of miles from home to enter college is the only way nineteen-year-old Avery Morgansten can escape what happened at the Halloween party five years ago--an event that forever changed her life. All she needs to do is make it to her classes on time, make sure the bracelet on her left wrist stays in place, not draw any attention to herself, and maybe--please God--make a few friends, because surely that would be a nice change of pace. The one thing she didn't need and never planned on was capturing the attention of the one guy who could shatter the precarious future she's building for herself. Some things are worth experiencing... Cameron Hamilton is six feet and three inches of swoon-worthy hotness, complete with a pair of striking blue eyes and a remarkable ability to make her want things she believed were irrevocably stolen from her. She knows she needs to stay away from him, but Cam is freaking everywhere, with his charm, his witty banter, and that damn dimple that's just so... so lickable. Getting involved with him is dangerous, but when ignoring the simmering tension that sparks whenever they are around each other becomes impossible, he brings out a side of her she never knew existed. Some things should never be kept quiet... But when Avery starts receiving threatening emails and phone calls forcing her to face a past she wants silenced, she's has no other choice but to acknowledge that someone is refusing to allow her to let go of that night when everything changed. When the devastating truth comes out, will she resurface this time with one less scar? And can Cam be there to help her or will he be dragged down with her? And some things are worth fighting for..""--"
0062294784,Be With Me,Jennifer L. Armentrout,,Be With Me by Jennifer L. Armentrout
0062299018,Little Too Far,Lisa Desrochers,,Little Too Far by Lisa Desrochers
0062299271,Keeping her,Cora Carmack,Garrick and Bliss learn that the only thing harder than finding true love is keeping it.,Keeping her by Cora Carmack. Garrick and Bliss learn that the only thing harder than finding true love is keeping it.
006229931X,Deceiving lies,Molly McAdams,"""Rachel is supposed to be planning her wedding to Kash, the love of her life. After the crazy year they've had, she's ready to settle down and live a completely normal life. Well, as normal as it can be. But there's something else waiting--something threatening to tear them apart. Kash is ready for it all with Rachel, especially if ""all"" includes having a football team of babies with his future wife. In his line of work, Kash knows how short life can be and doesn't want to waste another minute of their life together. But now his past as an undercover narcotics agent has come back to haunt him...and it's the girl he loves who's caught in the middle. Trent Cruz's orders are clear: take the girl. But there's something about this girl that has him changing the rules and playing a dangerous game to keep her safe. When his time as Rachel's protector runs out, Trent will turn his back on the only life he's known--and risk everything if it means getting her out alive.""--P. [4] of cover.","Deceiving lies by Molly McAdams. ""Rachel is supposed to be planning her wedding to Kash, the love of her life. After the crazy year they've had, she's ready to settle down and live a completely normal life. Well, as normal as it can be. But there's something else waiting--something threatening to tear them apart. Kash is ready for it all with Rachel, especially if ""all"" includes having a football team of babies with his future wife. In his line of work, Kash knows how short life can be and doesn't want to waste another minute of their life together. But now his past as an undercover narcotics agent has come back to haunt him...and it's the girl he loves who's caught in the middle. Trent Cruz's orders are clear: take the girl. But there's something about this girl that has him changing the rules and playing a dangerous game to keep her safe. When his time as Rachel's protector runs out, Trent will turn his back on the only life he's known--and risk everything if it means getting her out alive.""--P. [4] of cover."
006230240X,Rule,Jay Crownover,,Rule by Jay Crownover
0062302418,Jet,Jay Crownover,"Longing to escape her wild life with bad boys, Southern belle Ayden Cross falls for a man whose dangerous tattooed looks embody her most passionate rock-and-roll fantasies and who holds very different ideas about relationships.","Jet by Jay Crownover. Longing to escape her wild life with bad boys, Southern belle Ayden Cross falls for a man whose dangerous tattooed looks embody her most passionate rock-and-roll fantasies and who holds very different ideas about relationships."
0062302426,Rome,Jay Crownover,,Rome by Jay Crownover
0062304828,Trust In Me,Jennifer L. Armentrout,,Trust In Me by Jennifer L. Armentrout
0062317458,Suddenly royal,Nichole Chase,,Suddenly royal by Nichole Chase
0062326201,All lined up,Cora Carmack,,All lined up by Cora Carmack
0062333038,Nash,Jay Crownover,,Nash by Jay Crownover
0062351893,Better when he's bad,Jay Crownover,"""Sexy, dark, and dangerous, Bax isn't just from the wrong side of the tracks, he is the wrong side of the tracks. A criminal, a thug, and a brawler, he's the master of bad choices, until one such choice landed him in prison for five years. Now Bax is out and looking for answers, and he doesn't care what he has to do or who he has to hurt to get them. But there's a new player in the game, and she's much too innocent, much too soft ... and standing directly in his way. Dovie Pryce knows all about living a hard life and the tough choices that come with it. She's always tried to be good, tried to help others, and tried not to let the darkness pull her down. But the streets are fighting back, things have gone from bad to worse, and the only person who can help her is the scariest, sexiest, most complicated ex-con The Point has ever produced. Bax terrifies her, awakening feelings she never thought she'd have for a guy like him. But it doesn't take Dovie long to realize ... some boys are just better when they're bad""--","Better when he's bad by Jay Crownover. ""Sexy, dark, and dangerous, Bax isn't just from the wrong side of the tracks, he is the wrong side of the tracks. A criminal, a thug, and a brawler, he's the master of bad choices, until one such choice landed him in prison for five years. Now Bax is out and looking for answers, and he doesn't care what he has to do or who he has to hurt to get them. But there's a new player in the game, and she's much too innocent, much too soft ... and standing directly in his way. Dovie Pryce knows all about living a hard life and the tough choices that come with it. She's always tried to be good, tried to help others, and tried not to let the darkness pull her down. But the streets are fighting back, things have gone from bad to worse, and the only person who can help her is the scariest, sexiest, most complicated ex-con The Point has ever produced. Bax terrifies her, awakening feelings she never thought she'd have for a guy like him. But it doesn't take Dovie long to realize ... some boys are just better when they're bad""--"
014219672X,On the island,Tracey Garvis-Graves,,On the island by Tracey Garvis-Graves
0143124544,Me Before You,Jojo Moyes,,Me Before You by Jojo Moyes
0263899403,Waking up Married,Mira Lyn Kelly,,Waking up Married by Mira Lyn Kelly
030758836X,Gone Girl,Gillian Flynn,,Gone Girl by Gillian Flynn
0316404381,The girl in 6E,A. R. Torre,"""I haven't touched a human in three years. That seems like it would be a difficult task, but it's not. Not anymore, thanks to the internet. I am, quite possibly, the most popular recluse ever. Not many shut-ins have a 200-member fan club, a bank account in the seven-figure range, and hundreds of men lining up to pay for undivided attention. They get satisfaction, I get a distraction. Their secret desires are nothing compared to why I hide... my lust for blood, my love of death. Taking their money is easy. Keeping all these secrets... one is bound to escape. What if you hid yourself away because all you could think of was killing? And what if one girl's life depending on you venturing into society? Enter a world of lies, thrills, fears, and all desires, in this original thriller from A. R. Torre""--","The girl in 6E by A. R. Torre. ""I haven't touched a human in three years. That seems like it would be a difficult task, but it's not. Not anymore, thanks to the internet. I am, quite possibly, the most popular recluse ever. Not many shut-ins have a 200-member fan club, a bank account in the seven-figure range, and hundreds of men lining up to pay for undivided attention. They get satisfaction, I get a distraction. Their secret desires are nothing compared to why I hide... my lust for blood, my love of death. Taking their money is easy. Keeping all these secrets... one is bound to escape. What if you hid yourself away because all you could think of was killing? And what if one girl's life depending on you venturing into society? Enter a world of lies, thrills, fears, and all desires, in this original thriller from A. R. Torre""--"
0345544110,Release Me: A Novel,J. Kenner,"An erotic, emotionally charged romance between a powerful man who's never heard ""no"" and a fiery woman who says ""yes"" on her own terms--","Release Me: A Novel by J. Kenner. An erotic, emotionally charged romance between a powerful man who's never heard ""no"" and a fiery woman who says ""yes"" on her own terms--"
0345545834,Claim me,Julie Kenner,,Claim me by Julie Kenner
0345545869,Complete Me A Novel,Julie Kenner,"For fans of Fifty Shades of Grey and Bared to You comes the third novel in the erotic, fast-paced trilogy including Release Me and Claim Me. This sexy, emotionally charged romance continues the story of Damien Stark, the powerful multimillionaire who's never had to take ""no"" for an answer, and Nikki Fairchild, the Southern belle who only says ""yes"" on her own terms.

Beautiful, strong, and commanding, Damien Stark fills a void in Nikki that no other man can touch. His fierce cravings push her beyond the brink of bliss-- and unleash a wild passion that utterly consumes them both. Haunted by a legacy of dark secrets and broken trust, he seeks release in their shared ecstasy, the heat burning stronger each day. Yet not even Damien can run from his ghosts, or shield Nikki from the dangers yet to come.","Complete Me A Novel by Julie Kenner. For fans of Fifty Shades of Grey and Bared to You comes the third novel in the erotic, fast-paced trilogy including Release Me and Claim Me. This sexy, emotionally charged romance continues the story of Damien Stark, the powerful multimillionaire who's never had to take ""no"" for an answer, and Nikki Fairchild, the Southern belle who only says ""yes"" on her own terms.

Beautiful, strong, and commanding, Damien Stark fills a void in Nikki that no other man can touch. His fierce cravings push her beyond the brink of bliss-- and unleash a wild passion that utterly consumes them both. Haunted by a legacy of dark secrets and broken trust, he seeks release in their shared ecstasy, the heat burning stronger each day. Yet not even Damien can run from his ghosts, or shield Nikki from the dangers yet to come."
0345546601,Taking Shots,Toni Aleo,,Taking Shots by Toni Aleo
034554661X,Trying to Score,Toni Aleo,,Trying to Score by Toni Aleo
0345546628,Empty Net : the Assassins Series,Toni Aleo,,Empty Net : the Assassins Series by Toni Aleo
0345546679,,,,0345546679
0345803493,Fifty Shades Darker,E. L. James,,Fifty Shades Darker by E. L. James
0345803507,Fifty Shades Freed,E. L. James,,Fifty Shades Freed by E. L. James
0373210493,"Pushing the Limits (Pushing the Limits Series, Book 1)",Katie McGarry,"Rendered a subject of gossip after a traumatic night that left her with terrible scars on her arms, Echo is dumped by her boyfriend and bonds with bad-boy Noah, whose tough attitude hides an understanding nature and difficult secrets.","Pushing the Limits (Pushing the Limits Series, Book 1) by Katie McGarry. Rendered a subject of gossip after a traumatic night that left her with terrible scars on her arms, Echo is dumped by her boyfriend and bonds with bad-boy Noah, whose tough attitude hides an understanding nature and difficult secrets."
0373210639,"Dare You To (Pushing the Limits Series, Book 2)",Katie McGarry,,"Dare You To (Pushing the Limits Series, Book 2) by Katie McGarry"
037321099X,"Crash Into You (Pushing the Limits Series, Book 3)",Katie McGarry,,"Crash Into You (Pushing the Limits Series, Book 3) by Katie McGarry"
0373211104,White Hot Kiss,Jennifer L. Armentrout,,White Hot Kiss by Jennifer L. Armentrout
0373778287,Blindfolded Innocence,Alessandra Torre,"Still recovering from a failed engagement, law intern 21 year old Julie Campbell keeps warning off the premier divorce attorney at the firm and office playboy, 34 year old Brad De Luca, but as his charm begins to draw her to him, she enters a world of sexual exploration that her heart might not survive.

Brad De Luca is used to getting whatever and whomever he wants. The premier divorce attorney in town, he's a playboy who's bedded half the city-- including his own clients. And when the newest intern at his firm poses a challenge, his seductive prowess goes into overdrive. Pre-law student Julia Campbell is fresh off a failed engagement and happy with her new independence. The last thing she needs is a man who could destroy her job prospects, not to mention her innocence. But before she knows it, his deviant tastes plunge her deep into a forbidden world of sexual exploration ... and her heart may not survive the fall.","Blindfolded Innocence by Alessandra Torre. Still recovering from a failed engagement, law intern 21 year old Julie Campbell keeps warning off the premier divorce attorney at the firm and office playboy, 34 year old Brad De Luca, but as his charm begins to draw her to him, she enters a world of sexual exploration that her heart might not survive.

Brad De Luca is used to getting whatever and whomever he wants. The premier divorce attorney in town, he's a playboy who's bedded half the city-- including his own clients. And when the newest intern at his firm poses a challenge, his seductive prowess goes into overdrive. Pre-law student Julia Campbell is fresh off a failed engagement and happy with her new independence. The last thing she needs is a man who could destroy her job prospects, not to mention her innocence. But before she knows it, his deviant tastes plunge her deep into a forbidden world of sexual exploration ... and her heart may not survive the fall."
0373778295,My Favorite Mistake,Chelsea M. Cameron,,My Favorite Mistake by Chelsea M. Cameron
0373778376,Masked innocence,Alessandra Torre,"Julia Campbell, 21, never knows what to expect with 34 year old win-at-all-costs Brad De Luca. And she's starting to like it that way. She gave up safe, conventional relationships when she let the elite divorce attorney seduce her into his world. Now that he's determined to strip her naked of every inhibition, she's in danger of falling too deep and too fast. But their affair begins to feel even more dangerous when a murder leaves a trail of suspicion that points straight to the mob...and Brad. Trusting a man with a bad reputation and a past full of secrets seems like a mistake. But when she's forced to make a choice, the consequences will take her further than she could ever have imagined.","Masked innocence by Alessandra Torre. Julia Campbell, 21, never knows what to expect with 34 year old win-at-all-costs Brad De Luca. And she's starting to like it that way. She gave up safe, conventional relationships when she let the elite divorce attorney seduce her into his world. Now that he's determined to strip her naked of every inhibition, she's in danger of falling too deep and too fast. But their affair begins to feel even more dangerous when a murder leaves a trail of suspicion that points straight to the mob...and Brad. Trusting a man with a bad reputation and a past full of secrets seems like a mistake. But when she's forced to make a choice, the consequences will take her further than she could ever have imagined."
0425263908,Bared to you,Sylvia Day,,Bared to you by Sylvia Day
0425263916,Reflected In You,Sylvia Day,,Reflected In You by Sylvia Day
0425263924,Entwined with You,Sylvia Day,,Entwined with You by Sylvia Day
0425265951,Gabriels Rapture,Sylvain Reynard,,Gabriels Rapture by Sylvain Reynard
042526596X,Gabriel's inferno,Sylvain Reynard,"Professor Gabriel Emerson is a well respected Dante specialist by day, but by night he devotes himself to an uninhibited life of pleasure.  He uses his notorious good looks and sophisticated charm to gratify his every whim, but is secretly tortured by his dark past and consumed by the profound belief that he is beyond all hope of redemption.  When the sweet and innocent Julia Mitchell enrolls as his graduate student, his attraction and mysterious connection to her not only jeopardizes his career, but sends him on a journey in which his past and his present collide.","Gabriel's inferno by Sylvain Reynard. Professor Gabriel Emerson is a well respected Dante specialist by day, but by night he devotes himself to an uninhibited life of pleasure.  He uses his notorious good looks and sophisticated charm to gratify his every whim, but is secretly tortured by his dark past and consumed by the profound belief that he is beyond all hope of redemption.  When the sweet and innocent Julia Mitchell enrolls as his graduate student, his attraction and mysterious connection to her not only jeopardizes his career, but sends him on a journey in which his past and his present collide."
0425266516,Gabriel's redemption,Sylvain Reynard,"""Professor Gabriel Emerson has left his position at the University of Toronto to embark on a new life with his beloved Julianne. Together, he's confident that they can face any challenge. And he's eager to become a father. But Julianne's graduate program threatens Gabriel's plans, as the pressures of being a student become all consuming. When she is given the honor of presenting an academic lecture at Oxford, Gabriel is forced to confront Julianne about the subject of her presentation--research that conflicts with his own. And in Oxford, several individuals from their past appear, including an old nemesis intent on humiliating Julia and exposing one of Gabriel's darkest secrets. In an effort to confront his remaining demons, Gabriel begins a quest to discover more about his biological parents, beginning a chain of events that has startling repercussions for himself, Julianne, and his hope of having a family""--","Gabriel's redemption by Sylvain Reynard. ""Professor Gabriel Emerson has left his position at the University of Toronto to embark on a new life with his beloved Julianne. Together, he's confident that they can face any challenge. And he's eager to become a father. But Julianne's graduate program threatens Gabriel's plans, as the pressures of being a student become all consuming. When she is given the honor of presenting an academic lecture at Oxford, Gabriel is forced to confront Julianne about the subject of her presentation--research that conflicts with his own. And in Oxford, several individuals from their past appear, including an old nemesis intent on humiliating Julia and exposing one of Gabriel's darkest secrets. In an effort to confront his remaining demons, Gabriel begins a quest to discover more about his biological parents, beginning a chain of events that has startling repercussions for himself, Julianne, and his hope of having a family""--"
0425266745,Easy,Tammara Webber,,Easy by Tammara Webber
0425266869,Breakable,Tammara Webber,,Breakable by Tammara Webber
0425267040,Rush,Maya Banks,"Gabe is wealthy, powerful, and accustomed to getting anything he wants. Anything-- and anyone. For Gabe, it's one particular fantasy with a woman who was forbidden fruit. Now she's ripe for the picking... Mia was his best friend's little sister... but she's not so little any more. Mia knows Gabe is way out of her league, but she's an adult now, and there's no reason not to act on her most secret desires. But she doesn't know how exacting his demands can be...","Rush by Maya Banks. Gabe is wealthy, powerful, and accustomed to getting anything he wants. Anything-- and anyone. For Gabe, it's one particular fantasy with a woman who was forbidden fruit. Now she's ripe for the picking... Mia was his best friend's little sister... but she's not so little any more. Mia knows Gabe is way out of her league, but she's an adult now, and there's no reason not to act on her most secret desires. But she doesn't know how exacting his demands can be..."
0425267067,Fever,Maya Banks,,Fever by Maya Banks
0425267083,Burn,Maya Banks,"Ash, Jace, and Gabe: three of the wealthiest, most powerful men in the country. They are accustomed to getting anything they want. Anything at all. For Ash, it is the woman who changes everything he has ever known about dominance and desire.  When it comes to sex, Ash McIntyre has always explored his wilder side. Extreme and uncompromising, he demands control. And he prefers women who want it like that. Even the women he has shared with his best friend, Jace. But Jace is involved with a woman he has no intention of sharing. And now even Gabe has settled into a relationship with a woman who gives him everything he needs, leaving Ash feeling restless and unfulfilled. Then Ash meets Josie, who seems immune to his charms and his wealth. Intrigued, he begins a relentless pursuit, determined she won't be the one who got away. He never imagined the one woman to tell him no would be the only woman who had ever drive him to the edge of desire.","Burn by Maya Banks. Ash, Jace, and Gabe: three of the wealthiest, most powerful men in the country. They are accustomed to getting anything they want. Anything at all. For Ash, it is the woman who changes everything he has ever known about dominance and desire.  When it comes to sex, Ash McIntyre has always explored his wilder side. Extreme and uncompromising, he demands control. And he prefers women who want it like that. Even the women he has shared with his best friend, Jace. But Jace is involved with a woman he has no intention of sharing. And now even Gabe has settled into a relationship with a woman who gives him everything he needs, leaving Ash feeling restless and unfulfilled. Then Ash meets Josie, who seems immune to his charms and his wealth. Intrigued, he begins a relentless pursuit, determined she won't be the one who got away. He never imagined the one woman to tell him no would be the only woman who had ever drive him to the edge of desire."
0425267806,Wild Ones,M. Leighton,,Wild Ones by M. Leighton
0425267814,Some Like it Wild,M. Leighton,,Some Like it Wild by M. Leighton
0425267822,"There's wild, then there's you",M. Leighton,""" He's someone she can't trust; She's someone he thinks he knows; Violet Wilson is a wallflower. Shy, serious, and accident-prone, she's got a bad habit of being in the wrong place at the wrong time. The night she's forced to pose with her friend might just be the worst time of all-that's when she meets Jet Blevins. She knows better than to get involved with someone like him, but he touches her in ways she never expected, never wanted before. On the outside, Jet is a typical rocker, an arrogant lead guitarist who unapologetically lives a wild lifestyle. But on the inside, he's battling demons and using the stage to escape the troubles of his past and the addictions of his present. Until the night he sees Violet standing at the back of the room. She brings his life into focus. She knows his secrets. She's the girl he can't forget, and the one thing he craves more than his addiction. But can they ever hope to have a future when their very foundation is nothing but lies?""--","There's wild, then there's you by M. Leighton. "" He's someone she can't trust; She's someone he thinks he knows; Violet Wilson is a wallflower. Shy, serious, and accident-prone, she's got a bad habit of being in the wrong place at the wrong time. The night she's forced to pose with her friend might just be the worst time of all-that's when she meets Jet Blevins. She knows better than to get involved with someone like him, but he touches her in ways she never expected, never wanted before. On the outside, Jet is a typical rocker, an arrogant lead guitarist who unapologetically lives a wild lifestyle. But on the inside, he's battling demons and using the stage to escape the troubles of his past and the addictions of his present. Until the night he sees Violet standing at the back of the room. She brings his life into focus. She knows his secrets. She's the girl he can't forget, and the one thing he craves more than his addiction. But can they ever hope to have a future when their very foundation is nothing but lies?""--"
0425269841,Down to you,M. Leighton,,Down to you by M. Leighton
042526985X,Up to me,M. Leighton,,Up to me by M. Leighton
0425269868,Everything for us,M. Leighton,"""  When it comes to passion this hot, it's all or nothing.  Olivia Townsend's wealthy cousin Marissa had everything a girl could ask for-a great job, a privileged life, and all the friends she wanted. Or, at least, all the friends money could buy. But one case of mistaken identity has turned her privileged world upside down.  An abduction gone wrong lands her right in the lap of the sexiest, most dangerous man she's ever met. To Marissa, he's an enigma, but one to whom she's irresistibly, inexplicably drawn.  With him comes a new world of freedom and passion, of dark shadows and dangerous secrets, a world where nothing is what it seems-except for the blind passion that Marissa can't escape-or maybe even survive""--","Everything for us by M. Leighton. ""  When it comes to passion this hot, it's all or nothing.  Olivia Townsend's wealthy cousin Marissa had everything a girl could ask for-a great job, a privileged life, and all the friends she wanted. Or, at least, all the friends money could buy. But one case of mistaken identity has turned her privileged world upside down.  An abduction gone wrong lands her right in the lap of the sexiest, most dangerous man she's ever met. To Marissa, he's an enigma, but one to whom she's irresistibly, inexplicably drawn.  With him comes a new world of freedom and passion, of dark shadows and dangerous secrets, a world where nothing is what it seems-except for the blind passion that Marissa can't escape-or maybe even survive""--"
